"ID","Name","Class","Type","Power","Power %","Attraction %","Luck","Effect","Requirement","Tradable","Givable","Limited","Link"
"1501","Sunken Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"1502","Barnacle","Crafting","","","","","","","","No","No","No","link"
"1503","Brined Curd","Crafting","","","","","","","","No","No","No","link"
"1504","Damaged Coral Fragment","Crafting","","","","","","","","No","No","No","link"
"1505","Mouse Scale","Crafting","","","","","","","","No","No","No","link"
"1506","Predatory Processor","Crafting","","","","","","","","Yes","Yes","No","link"
"1507","Black Pearl","Collectible","","","","","","","","No","No","No","link"
"1508","Corrupt Trident","Collectible","","","","","","","","Yes","Yes","No","link"
"1509","Dinglehopper","Collectible","","","","","","","","No","No","No","link"
"1510","Oxygen Canister","Special","","","","","","","","No","No","No","link"
"1511","Sand Dollar","Special","","","","","","","","No","No","No","link"
"1512","Sunken Souvenir","Map","","","","","","","","No","No","No","link"
"1513","Tidal Base","Base","","800","8%","10%","10","Fresh","Count","No","No","No","link"
"1514","Rune Shark Trap","Weapon","Hydro","6,700","15%","20%","27","Very Fresh","Count","No","No","No","link"
"1515","School of Sharks","Weapon","Hydro","9,850","15%","20%","30","Extremely Fresh","Count","No","No","No","link"
"1516","Fishy Fromage","Bait","","","","","","","","No","No","No","link"
"1517","Water Jet Charm","Charm","","","","","","","","No","No","No","link"
"1518","Coral Clockwork Portal Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1519","Coral Oasis Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1520","Coral Phantasmic Oasis Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1521","The Leviathan Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1522","School of Friends Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1523","Seal Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1524","Regal Marketplace Stool","Collectible","","","","","","","","No","No","No","link"
"1525","Regal Marketplace Display Case","Collectible","","","","","","","","No","No","No","link"
"1526","MEGA Tournament Supply Kit","Special","","","","","","","","Yes","Yes","No","link"
"1527","MEGA Tournament Journal Theme","Collectible","","","","","","","","No","No","No","link"
"1528","Packet of Flour","Special","","","","","","","","No","No","No","link"
"1529","Grilled Cheese","Bait","","","","","","","","No","No","No","link"
"1530","Mist Canister","Special","","","","","","","","No","No","No","link"
"1531","Cryst-HAL Tower Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1532","Burroughs Blackhole Box","Special","","","","","","","","Yes","Yes","No","link"
"1533","Burroughs Rift Crate","Special","","","","","","","","Yes","Yes","No","link"
"1534","Magical Mist Basket","Special","","","","","","","","Yes","Yes","No","link"
"1535","Burroughs Rift Theme Scrap I","Crafting","","","","","","","","No","No","No","link"
"1536","Burroughs Rift Theme Scrap II","Crafting","","","","","","","","No","No","No","link"
"1537","Burroughs Rift Theme Scrap III","Crafting","","","","","","","","No","No","No","link"
"1538","Calcified Rift Mist","Crafting","","","","","","","","Yes","Yes","No","link"
"1539","Erupting Rift Core","Crafting","","","","","","","","No","No","No","link"
"1540","Shattered Rift Crystal","Crafting","","","","","","","","No","No","No","link"
"1541","Burroughs Rift Journal Theme","Collectible","","","","","","","","No","No","No","link"
"1542","Contaminated Crumb Cake","Collectible","","","","","","","","No","No","No","link"
"1543","Crystallized Fossil","Collectible","","","","","","","","No","No","No","link"
"1544","Optic Receiver","Collectible","","","","","","","","No","No","No","link"
"1545","The Red Button","Collectible","","","","","","","","No","No","No","link"
"1546","Null Gauntlet","Special","","","","","","","","No","No","No","link"
"1547","Rift Circuitry","Special","","","","","","","","No","No","No","link"
"1548","Focused Crystal Laser","Weapon","Rift","1,750","","","","","Duke","No","No","No","link"
"1549","Multi-Crystal Laser","Weapon","Rift","1,000","","","3","","Duke","No","No","No","link"
"1550","Polluted Parmesan Cheese","Bait","","","","","","","","No","No","No","link"
"1551","Terre Ricotta Cheese","Bait","","","","","","","","No","No","No","link"
"1552","Rift Power Charm","Charm","","500","5%","","","","","Yes","Yes","No","link"
"1553","Rift Vacuum Charm","Charm","","","","","","","","No","No","No","link"
"1554","Polluted Parmesan Potion","Potion","","","","","","","","No","No","No","link"
"1555","Terre Ricotta Potion","Potion","","","","","","","","No","No","No","link"
"1556","2014 Pumpkin Treat Basket","Special","","","","","","","","Yes","Yes","No","link"
"1557","Charming Study Research Assignment","Special","","","","","","","","No","No","No","link"
"1558","Extra Spooky Research Assignment","Special","","","","","","","","No","No","No","link"
"1559","Halloween Charm Bag","Special","","","","","","","","Yes","Yes","No","link"
"1560","Halloween Pillowcase","Special","","","","","","","","Yes","Yes","No","link"
"1561","2014 Halloween Scroll Case","Special","","","","","","","","No","No","No","link"
"1562","2014 Halloween Treasure Chest","Special","","","","","","","","No","No","No","link"
"1563","Rare 2014 Halloween Treasure Chest","Special","","","","","","","","No","No","No","link"
"1564","Spooky Shuffle Pack","Special","","","","","","","","Yes","Yes","No","link"
"1565","Spooky Skin Pack #2","Special","","","","","","","","Yes","Yes","No","link"
"1566","Two Oxygen Canisters","Special","","","","","","","","No","No","No","link"
"1567","Spooky Halloween Theme Scrap I","Crafting","","","","","","","","No","No","No","link"
"1568","Spooky Halloween Theme Scrap II","Crafting","","","","","","","","No","No","No","link"
"1569","Spooky Halloween Theme Scrap III","Crafting","","","","","","","","No","No","No","link"
"1570","Completed Spooky Halloween Theme","Collectible","","","","","","","","No","No","No","link"
"1571","Spooky Shuffle Ticket","Special","","","","","","","","No","No","No","link"
"1572","Mousataur Skull","Special","","","","","","","","No","No","No","link"
"1573","Rift Candy","Special","","","","","","","","No","No","No","link"
"1574","Skello-ton Base","Base","","300","5%","5%","8","","Grandmaster","No","No","Yes","link"
"1575","Candy Charm","Charm","","500","5%","10%","5","","","Yes","Yes","No","link"
"1576","Super Spooky Charm","Charm","","200","2%","2%","4","","","No","No","No","link"
"1577","Shortcut Charm","Charm","","200","2%","2%","2","","","Yes","Yes","No","link"
"1578","Super Brain Charm","Charm","","100","10%","10%","1","Insanely Fresh","","Yes","Yes","No","link"
"1579","Charming Study Research Assignment","Hunting Task","","","","","","","","No","No","No","link"
"1580","Extra Spooky Research Assignment","Hunting Task","","","","","","","","No","No","No","link"
"1581","All Seeing Eye Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1582","Haunted Spires Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1583","Molten Oasis Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1584","Skeletal Rune Shark Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1585","The Spirit of Halloween Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1586","Gold Foil Mouse Statue","Collectible","","","","","","","","No","No","No","link"
"1587","Two Front Teeth","Collectible","","","","","","","","No","No","No","link"
"1588","White Chocolate Snowman","Collectible","","","","","","","","No","No","No","link"
"1589","Arctic Asiago Cheese","Bait","","","","","","","","No","No","No","link"
"1590","Winter Builder Charm","Charm","","","","","5","","","Yes","Yes","No","link"
"1591","Winter Hoarder Charm","Charm","","","","","5","","","Yes","Yes","No","link"
"1592","Winter Miser Charm","Charm","","","","","5","","","Yes","Yes","No","link"
"1593","Festive Skin Pack #2","Special","","","","","","","","Yes","Yes","No","link"
"1594","Ice Fortress Hobbyist Case","Special","","","","","","","","Yes","Yes","No","link"
"1595","Ice Fortress Craftsman Crate","Special","","","","","","","","Yes","Yes","No","link"
"1596","Ice Fortress Starter Kit","Special","","","","","","","","Yes","Yes","No","link"
"1597","Ice Brick","Special","","","","","","","","No","No","No","link"
"1598","Crystal Ice Tower Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1599","Winter Helper's Perch","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1600","Sinister Winter Wreath Portal","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1601","Ice Fortress Pro Pack","Special","","","","","","","","Yes","Yes","No","link"
"1602","Naughty 2014 Treasure Chest","Special","","","","","","","","No","No","No","link"
"1603","Sealed 2014 Naughty List","Special","","","","","","","","No","No","No","link"
"1604","Nice 2014 Treasure Chest","Special","","","","","","","","No","No","No","link"
"1605","Sealed 2014 Nice List","Special","","","","","","","","No","No","No","link"
"1606","Rare Naughty 2014 Treasure Chest","Special","","","","","","","","No","No","No","link"
"1607","Rare Nice 2014 Treasure Chest","Special","","","","","","","","No","No","No","link"
"1608","Throwable Snowball Booster Pack","Special","","","","","","","","Yes","Yes","No","link"
"1609","Winter Builder Charm Kit","Special","","","","","","","","Yes","Yes","No","link"
"1610","Winter Hoarder Charm Kit","Special","","","","","","","","Yes","Yes","No","link"
"1611","Winter Miser Charm Kit","Special","","","","","","","","Yes","Yes","No","link"
"1612","Iceball Brawl Theme Scrap I","Crafting","","","","","","","","No","No","No","link"
"1613","Iceball Brawl Theme Scrap II","Crafting","","","","","","","","No","No","No","link"
"1614","Iceball Brawl Theme Scrap III","Crafting","","","","","","","","No","No","No","link"
"1615","Bigger, Golder Brick","Collectible","","","","","","","","No","No","No","link"
"1616","Raw Diamond","Collectible","","","","","","","","No","No","No","link"
"1617","Sooty Stocking","Collectible","","","","","","","","No","No","No","link"
"1618","Iceball Brawl Theme","Collectible","","","","","","","","No","No","No","link"
"1619","Throwable Snowball","Special","","","","","","","","No","No","No","link"
"1620","Borean Commander Caught","Special","","","","","","","","No","No","No","link"
"1621","Ice Fortress Completed","Special","","","","","","","","No","No","No","link"
"1622","Tower Slab","Special","","","","","","","","No","No","No","link"
"1623","Hothouse Base","Base","","250","3%","5%","6","Very Fresh","Baron","No","No","Yes","link"
"1624","Festive Gauntlet Crusher","Weapon","Physical","1,200","5%","25%","5","Extremely Fresh","Novice","No","No","Yes","link"
"1625","Satchel of Gold (1,500 gold)","Bonus","","","","","","","","No","No","No","link"
"1626","Satchel of Gold (3,000 gold)","Bonus","","","","","","","","No","No","No","link"
"1627","Satchel of Gold (4,000 gold)","Bonus","","","","","","","","No","No","No","link"
"1628","2015 Party Pack","Special","","","","","","","","Yes","Yes","Yes","link"
"1629","2015 Charm","Charm","","2,015","","","","","","Yes","Yes","Yes","link"
"1630","Satchel of Gold (2,015 gold)","Bonus","","","","","","","","No","No","No","link"
"1631","New Year's Party Portal Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1632","Tactical Zombie Gear","Special","","","","","","","","Yes","Yes","No","link"
"1633","Whisker Rift Domination Box","Special","","","","","","","","Yes","Yes","No","link"
"1634","Whisker Rift Hunting Kit","Special","","","","","","","","Yes","Yes","No","link"
"1635","Whisker Wicker Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"1636","Woodsy Charm Bag","Special","","","","","","","","Yes","Yes","No","link"
"1637","Creamy Gnarled Sap","Crafting","","","","","","","","No","No","No","link"
"1638","Crumbly Rift Salts","Crafting","","","","","","","","No","No","No","link"
"1639","Rift Cherries","Crafting","","","","","","","","Yes","Yes","No","link"
"1640","Rift-torn Roots","Crafting","","","","","","","","Yes","Yes","No","link"
"1641","Tasty Spider Mould","Crafting","","","","","","","","No","No","No","link"
"1642","Sap-filled Thorns","Crafting","","","","","","","","Yes","Yes","No","link"
"1643","Widow's Web","Crafting","","","","","","","","No","No","No","link"
"1644","Fissure Base","Base","","450","15%","5%","12","Stale","Duke","No","No","No","link"
"1645","Fracture Base","Base","","200","10%","","10","Fresh","Duke","No","No","No","link"
"1646","Lactrodectus Lancashire Cheese","Bait","","","","","","","","No","No","No","link"
"1647","Taunting Charm","Charm","","","","","","","","No","No","No","link"
"1648","Cherry Charm","Charm","","250","","5%","2","","","Yes","No","No","link"
"1649","Gnarled Charm","Charm","","250","","5%","2","","","Yes","No","No","link"
"1650","Rift Ultimate Luck Charm","Charm","","","","","20","","","No","No","No","link"
"1651","Rift Ultimate Power Charm","Charm","","2,400","20%","","","","","No","No","No","link"
"1652","Stagnant Charm","Charm","","250","","5%","2","","","Yes","No","No","link"
"1653","Plankrun's Whisker Woods Rift Notes","Torn Page","","","","","","","","No","No","No","link"
"1654","Satchel of Gold (100,000 gold)","Bonus","","","","","","","","No","No","No","link"
"1655","Be Mine Big Box","Special","","","","","","","","Yes","Yes","No","link"
"1656","Rare Valentine's Treasure Chest","Special","","","","","","","","No","No","No","link"
"1657","Valentine's Treasure Chest","Special","","","","","","","","No","No","No","link"
"1658","Valentine's Scroll Case","Special","","","","","","","","No","No","No","link"
"1659","Chocolate Box Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1660","The Heart Stopper Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1661","Sheep Festival Jumbo Kit","Special","","","","","","","","Yes","Yes","No","link"
"1662","Year of the Sheep Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"1663","Captain's Coat","Collectible","","","","","","","","No","No","Yes","link"
"1664","Sheep Mask","Collectible","","","","","","","","No","No","No","link"
"1665","Squishy Sheep","Collectible","","","","","","","","No","No","No","link"
"1666","Sunken City Miniature","Collectible","","","","","","","","No","No","Yes","link"
"1667","Sheep Jade Base","Base","","325","12%","10%","10","Stale","Grandmaster","No","No","Yes","link"
"1668","Ramming Speed Charm","Charm","","120","","","1","","","No","No","No","link"
"1669","Ramming Speed Potion","Potion","","","","","","","","No","No","No","link"
"1670","Focused Ram Eye Laser Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1671","Ram Shrine Crystal Laser Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1672","2015 Birthday Gift","Special","","","","","","","","No","No","No","link"
"1673","Assortment of 6 Cupcakes (Blue and Red)","Special","","","","","","","","No","No","No","link"
"1674","Assortment of 6 Cupcakes (Red and Yellow)","Special","","","","","","","","No","No","No","link"
"1675","Assortment of 6 Cupcakes (Yellow and Blue)","Special","","","","","","","","No","No","No","link"
"1676","Sealed Seventh Birthday Scroll Case","Special","","","","","","","","No","No","No","link"
"1677","2015 Birthday Treasure Chest","Special","","","","","","","","No","No","No","link"
"1678","Cupcake Combo Kit","Special","","","","","","","","Yes","Yes","No","link"
"1679","2015 Rare Birthday Treasure Chest","Special","","","","","","","","No","No","No","link"
"1680","MouseHunt Cupcake Theme","Collectible","","","","","","","","No","No","No","link"
"1681","Blue Birthday Cupcake","Special","","","","","","","","No","No","No","link"
"1682","Green Birthday Cupcake","Special","","","","","","","","No","No","No","link"
"1683","Rainbow Birthday Cupcake","Special","","","","","","","","No","No","No","link"
"1684","Red Birthday Cupcake","Special","","","","","","","","No","No","No","link"
"1685","Yellow Birthday Cupcake","Special","","","","","","","","No","No","No","link"
"1686","Cupcake Birthday Base","Base","","300","7%","7%","7","Extremely Fresh","Initiate","No","No","No","link"
"1687","Stale Cupcake Golem Trap","Weapon","Forgotten","6,700","7%","","","Stale","Lord","No","No","Yes","link"
"1688","Cupcake Charm","Charm","","","","7%","7","Fresh","","Yes","Yes","No","link"
"1689","Candle Chrome MonstroBot Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1690","Chesla's Flame 'n' Fire Birthday Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1691","Lucky Clover Kit","Special","","","","","","","","Yes","Yes","No","link"
"1692","Rainbow Charm","Charm","","1,000","10%","10%","12","Insanely Fresh","","No","No","No","link"
"1693","Assortment of 6 Cupcakes (Red, Yellow and Blue)","Special","","","","","","","","No","No","No","link"
"1694","Barnacle Egg","Special","","","","","","","","No","No","No","link"
"1695","Bubbling Egg","Special","","","","","","","","No","No","No","link"
"1696","Cherry Sprite Egg","Special","","","","","","","","No","No","No","link"
"1697","Coral Egg","Special","","","","","","","","No","No","No","link"
"1698","Eggstra Charge Charm Kit","Special","","","","","","","","Yes","Yes","No","link"
"1699","Enlarged Rift Egg","Special","","","","","","","","No","No","No","link"
"1700","Gilded Leaf Egg","Special","","","","","","","","No","No","No","link"
"1701","Grizzled Silth Egg","Special","","","","","","","","No","No","No","link"
"1702","Mouse Scale Egg","Special","","","","","","","","No","No","No","link"
"1703","Naturalist Egg","Special","","","","","","","","No","No","No","link"
"1704","Null Rift Egg","Special","","","","","","","","No","No","No","link"
"1705","Oxygen Egg","Special","","","","","","","","No","No","No","link"
"1706","Rift Fang Egg","Special","","","","","","","","No","No","No","link"
"1707","Rift Mist Egg","Special","","","","","","","","No","No","No","link"
"1708","Rift Venom Egg","Special","","","","","","","","No","No","No","link"
"1709","Salty Sea Egg","Special","","","","","","","","No","No","No","link"
"1710","Sand Dollar Egg","Special","","","","","","","","No","No","No","link"
"1711","Sunken Treasure Egg","Special","","","","","","","","No","No","No","link"
"1712","Tritus Egg","Special","","","","","","","","No","No","No","link"
"1713","Underwater Predator Egg","Special","","","","","","","","No","No","No","link"
"1714","Eggstra Charge Charm","Charm","","","","","","","","No","No","No","link"
"1715","Egg Basket Box Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1716","Spring Hunt Shark Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1717","Glowing Gruyere Kit","Special","","","","","","","","Yes","Yes","No","link"
"1718","Nightshade Basket","Special","","","","","","","","Yes","Yes","No","link"
"1719","Nightshade Kit","Special","","","","","","","","Yes","Yes","No","link"
"1720","Underground Exploration Kit","Special","","","","","","","","Yes","Yes","No","link"
"1721","Nightshade","Crafting","","","","","","","","No","No","No","link"
"1722","Cavern Fungus","Crafting","","","","","","","","No","No","No","link"
"1723","Crystal Crucible","Crafting","","","","","","","","No","No","No","link"
"1724","Diamond","Crafting","","","","","","","","No","No","No","link"
"1725","Gemstone","Crafting","","","","","","","","No","No","No","link"
"1726","Mineral","Crafting","","","","","","","","No","No","No","link"
"1727","Fungal Cavern Journal Theme","Collectible","","","","","","","","No","No","No","link"
"1728","Fungal Cavern Map Piece","Map","","","","","","","","No","No","No","link"
"1729","Labyrinth Key","Map","","","","","","","","No","No","No","link"
"1730","Crystal Crucible Trap","Weapon","Forgotten","7,800","10%","2%","8","Very Fresh","Duke","No","No","No","link"
"1731","Diamond Cheese","Bait","","","","","","","","No","No","No","link"
"1732","Gemstone Cheese","Bait","","","","","","","","No","No","No","link"
"1733","Glowing Gruyere Cheese","Bait","","","","","","","","Yes","Yes","No","link"
"1734","Mineral Cheese","Bait","","","","","","","","No","No","No","link"
"1735","Diamond Boost Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1736","Gemstone Boost Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1737","Nightshade Farming Charm","Charm","","50","3%","2%","","","","Yes","Yes","No","link"
"1738","Spore Charm","Charm","","400","3%","2%","3","Stale","","Yes","Yes","No","link"
"1739","Super Spore Charm","Charm","","500","5%","5%","5","Very Stale","","Yes","Yes","No","link"
"1740","Ultimate Spore Charm","Charm","","1,200","10%","10%","10","Extremely Stale","","Yes","Yes","No","link"
"1741","Fungal Gemstone Crucible Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1742","Gemstone Shark Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1743","Nightshade Farming Kit","Special","","","","","","","","Yes","Yes","No","link"
"1744","Arduous Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1745","Bounty Reward","Special","","","","","","","","No","No","No","link"
"1746","Acolyte Scroll Case","Special","","","","","","","","No","No","No","link"
"1747","Acolyte Realm Treasure Chest","Special","","","","","","","","No","No","No","link"
"1748","Digby Scroll Case","Special","","","","","","","","No","No","No","link"
"1749","Digby Treasure Chest","Special","","","","","","","","No","No","No","link"
"1750","Easy Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1751","Elaborate Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1752","Elite Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1753","Fungal Cavern Scroll Case","Special","","","","","","","","No","No","No","link"
"1754","Fungal Cavern Treasure Chest","Special","","","","","","","","No","No","No","link"
"1755","Gnawnia Scroll Case","Special","","","","","","","","No","No","No","link"
"1756","Gnawnia Treasure Chest","Special","","","","","","","","No","No","No","link"
"1757","Hard Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1758","Icebreaker's Scroll Case","Special","","","","","","","","No","No","No","link"
"1759","Icebreaker Treasure Chest","Special","","","","","","","","No","No","No","link"
"1760","Tribal Isles Treasure Chest","Special","","","","","","","","No","No","No","link"
"1761","Jumbo Treasure Hunting Kit","Special","","","","","","","","Yes","Yes","No","link"
"1762","Living Garden Treasure Chest","Special","","","","","","","","No","No","No","link"
"1763","Medium Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1764","Muridae Protector's Scroll Case","Special","","","","","","","","No","No","No","link"
"1765","Muridae Protector's Treasure Chest","Special","","","","","","","","No","No","No","link"
"1766","Rare Arduous Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1767","Rare Bounty Reward","Special","","","","","","","","No","No","No","link"
"1768","Rare Acolyte Realm Treasure Chest","Special","","","","","","","","No","No","No","link"
"1769","Rare Digby Treasure Chest","Special","","","","","","","","No","No","No","link"
"1770","Rare Easy Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1771","Rare Elaborate Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1772","Rare Elite Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1773","Rare Fungal Cavern Treasure Chest","Special","","","","","","","","No","No","No","link"
"1774","Rare Gnawnia Treasure Chest","Special","","","","","","","","No","No","No","link"
"1775","Rare Hard Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1776","Rare Icebreaker Treasure Chest","Special","","","","","","","","No","No","No","link"
"1777","Rare Tribal Isles Treasure Chest","Special","","","","","","","","No","No","No","link"
"1778","Rare Living Garden Treasure Chest","Special","","","","","","","","No","No","No","link"
"1779","Rare Medium Treasure Chest (Season 3)","Special","","","","","","","","No","No","No","link"
"1780","Rare Muridae Protector's Treasure Chest","Special","","","","","","","","No","No","No","link"
"1781","Rare Rift Walker Treasure Chest","Special","","","","","","","","No","No","No","link"
"1782","Rare Shelder Treasure Chest","Special","","","","","","","","No","No","No","link"
"1783","Rare Sunken City Treasure Chest","Special","","","","","","","","No","No","No","link"
"1784","Rare Mousoleum Treasure Chest","Special","","","","","","","","No","No","No","link"
"1785","Rare Valour Treasure Chest","Special","","","","","","","","No","No","No","link"
"1786","Rare Whisker Woods Treasure Chest","Special","","","","","","","","No","No","No","link"
"1787","Rare Zugzwang Treasure Chest","Special","","","","","","","","No","No","No","link"
"1788","Rift Walker Scroll Case","Special","","","","","","","","No","No","No","link"
"1789","Rift Walker Treasure Chest","Special","","","","","","","","No","No","No","link"
"1790","Tribal Shelder Scroll Case","Special","","","","","","","","No","No","No","link"
"1791","Shelder Treasure Chest","Special","","","","","","","","No","No","No","link"
"1792","Sunken City Scroll Case","Special","","","","","","","","No","No","No","link"
"1793","Sunken City Treasure Chest","Special","","","","","","","","No","No","No","link"
"1794","Tribal Isles Scroll Case","Special","","","","","","","","No","No","No","link"
"1795","Mousoleum Scroll Case","Special","","","","","","","","No","No","No","link"
"1796","Mousoleum Treasure Chest","Special","","","","","","","","No","No","No","link"
"1797","Valour Scroll Case","Special","","","","","","","","No","No","No","link"
"1798","Valour Treasure Chest","Special","","","","","","","","No","No","No","link"
"1799","Whisker Woods Scroll Case","Special","","","","","","","","No","No","No","link"
"1800","Whisker Woods Treasure Chest","Special","","","","","","","","No","No","No","link"
"1801","Zugzwang Scroll Case","Special","","","","","","","","No","No","No","link"
"1802","Zugzwang Treasure Chest","Special","","","","","","","","No","No","No","link"
"1803","Relic Hunter Theme Scrap I","Crafting","","","","","","","","No","No","No","link"
"1804","Relic Hunter Theme Scrap II","Crafting","","","","","","","","No","No","No","link"
"1805","Relic Hunter Theme Scrap III","Crafting","","","","","","","","No","No","No","link"
"1806","Relic Hunter Theme Scrap IV","Crafting","","","","","","","","No","No","No","link"
"1807","Relic Hunter Theme Scrap V","Crafting","","","","","","","","No","No","No","link"
"1808","Relic Hunter Theme Scrap VI","Crafting","","","","","","","","No","No","No","link"
"1809","Relic Hunter Theme Scrap VII","Crafting","","","","","","","","No","No","No","link"
"1810","Relic Hunter Theme Scrap VIII","Crafting","","","","","","","","No","No","No","link"
"1811","Relic Hunter Theme Scrap IX","Crafting","","","","","","","","No","No","No","link"
"1812","Relic Hunter Journal Theme","Collectible","","","","","","","","No","No","No","link"
"1813","Warden Slayer Trap","Weapon","Physical","6,000","15%","15%","17","","Knight","No","No","Yes","link"
"1814","Galleon Gouda","Bait","","","","","","","","No","No","No","link"
"1815","Baitkeep Charm","Charm","","","","","","","","No","No","No","link"
"1816","Extreme Ancient Charm","Charm","","800","7%","7%","7","Insanely Fresh","","No","No","No","link"
"1817","Extreme Attraction Charm","Charm","","","","50%","","","","No","No","No","link"
"1818","Extreme Power Charm","Charm","","600","5%","","","","","No","No","No","link"
"1819","Shielding Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1820","Super Ancient Charm","Charm","","700","6%","6%","6","Extremely Fresh","","No","No","No","link"
"1821","Super Attraction Charm","Charm","","","","20%","","","","No","No","No","link"
"1822","Ultimate Ancient Charm","Charm","","900","8%","8%","8","Insanely Fresh","","No","No","No","link"
"1823","Ultimate Attraction Charm","Charm","","","","100%","","","","No","No","No","link"
"1824","Dragon Scale Ice Maiden Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1825","Shattered Arcanum Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1826","Treasured Crystal Crucible Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"1827","Chrome Sphynx Wrath Upgrade Kit","Crafting","","","","","","","","Yes","Yes","No","link"
"1828","Heavy Gold","Crafting","","","","","","","","Yes","Yes","No","link"
"1829","Mini Maelstrom","Crafting","","","","","","","","Yes","Yes","No","link"
"1830","Sphynx Wrath Parts","Crafting","","","","","","","","No","No","No","link"
"1831","Spiked Metal","Crafting","","","","","","","","Yes","Yes","No","link"
"1832","Chrome Onyx Mallet","Weapon","Physical","5,000","30%","","20","Very Stale","Hero","No","No","Yes","link"
"1833","Chrome Sphynx Wrath","Weapon","Tactical","6,500","15%","10%","28","Very Fresh","Baron","No","No","No","link"
"1834","Dreaded Totem Trap","Weapon","Shadow","3,000","15%","10%","10","Very Stale","Hero","No","No","Yes","link"
"1835","Gargantua Charm","Charm","","250","5%","","","","","Yes","Yes","No","link"
"1836","Golden Anchor Charm","Charm","","300","4%","","","","","Yes","Yes","No","link"
"1837","Oxygen Burst Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1838","Smart Water Jet Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1839","Spiked Anchor Charm","Charm","","900","12%","","","Very Stale","","Yes","Yes","No","link"
"1840","Super Wealth Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1841","Super Rift Vacuum Charm","Charm","","100","","","","","","Yes","Yes","No","link"
"1842","Sunken Treasure Crate","Special","","","","","","","","No","No","No","link"
"1843","Trawler Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"1844","Treasure Trawling Charm","Charm","","","","","","","","No","No","No","link"
"1845","Ancient Dive Crate","Special","","","","","","","","No","No","No","link"
"1846","Ultimate Anchor Charm","Charm","","","","","","","","Yes","Yes","No","link"
"1847","Adventure Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"1848","Grand Adventure Kit","Special","","","","","","","","Yes","Yes","No","link"
"1849","Forgotten Pressure Plate Trap","Weapon","Forgotten","3,500","10%","10%","2","Fresh","Legendary","No","No","No","link"
"1850","Capture the Acolyte Mouse","Adventure","","","","","","","","No","No","No","link"
"1851","Take an Archery Lesson at the Training Grounds","Adventure","","","","","","","","No","No","No","link"
